0,CombatZoneResize,133,251,508,391,,,,,,,,,
0,GBBoneV2,503,321,125,340,321,5,200,0,0,5,0,0,0
0.4,GBBoneV2,320,231,350,320,301,5,200,90,270,5,0,0,0
0,GBBoneV2,320,411,350,320,341,5,200,90,90,5,0,0,0
0.5,HeartMode,0,,,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,,,
0.2,BoneStab,0,160,0,25,0,,,,,,,,
0,BoneStab,1,45,0,25,0,,,,,,,,
0,BoneStab,2,160,0,25,0,,,,,,,,
0,BoneStab,3,45,0,25,0,,,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,,,
0,ADD,X,$HeartX,100,,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,,,
0,SUB,X2,$HeartX,100,,,,,,,,,,
0,GasterBlaster2,0,$X2,0,$X2,$Y,50,0.26,200,0,0,,,
0,GasterBlaster2,0,$X,0,$X,$Y,130,0.26,200,0,0,,,
0.5,SET,Loop2,5,,,,,,,,,,,
0,SUB,Loop2,$Loop2,1,,,,,,,,,,
0,RND,JIA,2,,,,,,,,,,,
0,SET,Yanse,1,,,,,,,,,,,
0,ADD,Yanse,$Yanse,$JIA,,,,,,,,,,
0,GasterBlaster2,1,320,0,320,166,90,0.26,200,$Yanse,0,,,
0.6,JMPNZ,61,$Loop2,,,,,,,,,,,
0.5,SET,Loop3,12,,,,,,,,,,,
0,SUB,Loop3,$Loop3,1,,,,,,,,,,
0,SET,Yanse2,1,,,,,,,,,,,
0,RND,JIA,2,,,,,,,,,,,
0,ADD,Yanse2,$Yanse2,$JIA,,,,,,,,,,
0,BoneV,118,256,135,0,220,$Yanse2,,,,,,,
0,BoneV,510,256,135,2,220,$Yanse2,,,,,,,
0,BoneV,98,286,30,0,220,0,,,,,,,
0,BoneV,540,286,30,2,220,0,,,,,,,
0.8,SET,Yanse2,1,,,,,,,,,,,
0,RND,JIA,2,,,,,,,,,,,
0,ADD,Yanse2,$Yanse2,$JIA,,,,,,,,,,
0,BoneV,118,256,135,0,220,$Yanse2,,,,,,,
0,BoneV,510,256,135,2,220,$Yanse2,,,,,,,
0,BoneV,98,316,30,0,220,0,,,,,,,
0,BoneV,540,316,30,2,220,0,,,,,,,
0.8,JMPNZ,68,$Loop3,,,,,,,,,,,
2,SET,H,30,,,,,,,,,,,
0,SET,H2,85,,,,,,,,,,,
0,SET,Y3,301,,,,,,,,,,,
0,RND,JIA2,50,,,,,,,,,,,
0,ADD,H,$H,$JIA2,,,,,,,,,,
0,ADD,Y3,$Y3,$JIA2,,,,,,,,,,
0,SUB,H2,$H2,$JIA2,,,,,,,,,,
0,BoneV,128,256,$H,0,100,0,,,,,,,
0,BoneV,128,$Y3,$H2,0,100,0,,,,,,,
0.3,BoneVRepeat,128,256,$H,0,300,0,20,12,,,,,
0,BoneVRepeat,128,$Y3,$H2,0,300,0,20,12,,,,,
0.1,The world,,,,,,,,,,,,,
4,BoneVRepeat,128,346,40,0,120,0,50,50,,,,,
3,The world off,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,,,
0.4,SansAnimation,Idle,,,,,,,,,,,,
8,BlackScreen,1,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,
0,CombatZoneResizeinstant,0,0,640,391,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,HeartTeleport,320,284,,,,,,,,,,,
0.3,BlackScreen,0,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,
0,Evil King True Eye,320,304,,,,,,,,,,,
2,SET,Loop5,18,,,,,,,,,,,
0,SUB,Loop5,$Loop5,1,,,,,,,,,,
0,RND,YADD,391,,,,,,,,,,,
0,RND,YADD2,391,,,,,,,,,,,
0,RND,XADD,640,,,,,,,,,,,
0,RND,XADD2,640,,,,,,,,,,,
0,RND,Ang,360,,,,,,,,,,,
0,COS,X5,$Ang,,,,,,,,,,,
0,SIN,Y5,$Ang,,,,,,,,,,,
0,MUL,EndX5,$X5,200,,,,,,,,,,
0,MUL,EndY5,$Y5,200,,,,,,,,,,
0,MUL,X5,$X5,400,,,,,,,,,,
0,MUL,Y5,$Y5,300,,,,,,,,,,
0,RND,Ang2,360,,,,,,,,,,,
0,COS,X6,$Ang2,,,,,,,,,,,
0,SIN,Y6,$Ang2,,,,,,,,,,,
0,MUL,EndX6,$X6,200,,,,,,,,,,
0,MUL,EndY6,$Y6,200,,,,,,,,,,
0,MUL,X6,$X6,400,,,,,,,,,,
0,MUL,Y6,$Y6,300,,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,,,,
0,ADD,EndX5,$EndX5,$HeartX,,,,,,,,,,
0,ADD,EndY5,$EndY5,$HeartY,,,,,,,,,,
0,ADD,X5,$X5,$HeartX,,,,,,,,,,
0,ADD,Y5,$Y5,$HeartY,,,,,,,,,,
0,ADD,EndX6,$EndX6,$HeartX,,,,,,,,,,
0,ADD,EndY6,$EndY6,$HeartY,,,,,,,,,,
0,ADD,X6,$X6,$HeartX,,,,,,,,,,
0,ADD,Y6,$Y6,$HeartY,,,,,,,,,,
0,JMPNL,140,$EndX5,50,,,,,,,,,,
0,SET,EndX5,50,,,,,,,,,,,
0,JMPNG,142,$EndX5,590,,,,,,,,,,
0,SET,EndX5,590,,,,,,,,,,,
0,JMPNL,144,$EndY5,40,,,,,,,,,,
0,SET,EndY5,40,,,,,,,,,,,
0,JMPNG,146,$EndY5,440,,,,,,,,,,
0,SET,EndY5,440,,,,,,,,,,,
0,JMPNL,148,$EndX6,50,,,,,,,,,,
0,SET,EndX6,50,,,,,,,,,,,
0,JMPNG,150,$EndX6,590,,,,,,,,,,
0,SET,EndX6,590,,,,,,,,,,,
0,JMPNL,152,$EndY6,40,,,,,,,,,,
0,SET,EndY6,40,,,,,,,,,,,
0,JMPNG,154,$EndY6,440,,,,,,,,,,
0,SET,EndY6,440,,,,,,,,,,,
0,ANGLE,Ang,$EndX5,$EndY5,$HeartX,$HeartY,,,,,,,,
0,ANGLE,Ang2,$EndX6,$EndY6,$HeartX,$HeartY,,,,,,,,
0,GasterBlaster,0,$X5,$Y5,$EndX5,$EndY5,$Ang,0.46666,0.03333,0,0,,,
0,GasterBlaster2,0,$X6,$Y6,$EndX6,$EndY6,$Ang2,0.46666,200,0,0,,,
0,GasterBlaster,0,50,0,50,$YADD,0,0.46666,0.03333,0,0,,,
0,GasterBlaster,0,590,0,590,$YADD2,180,0.46666,0.03333,0,0,,,
0,GasterBlaster,0,$XADD,0,$XADD,50,90,0.46666,0.03333,0,0,,,
0,GasterBlaster,0,$XADD2,480,$XADD2,430,-90,0.46666,0.03333,0,0,,,
0.5333,JMPNZ,110,$Loop5,,,,,,,,,,,
1,GasterBlaster,4,500,480,500,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,450,480,450,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,400,480,400,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,350,480,350,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,300,480,300,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,250,480,250,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,200,480,200,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,150,480,150,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,100,480,100,430,-90,1,0.5,0,0,,,
1,GasterBlaster,4,0,391,50,391,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,341,50,341,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,291,50,291,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,241,50,241,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,191,50,191,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,141,50,141,0,1,0.5,0,0,,,
0.2,GasterBlaster,4,0,91,50,91,0,1,0.5,0,0,,,
1,GasterBlaster,4,50,480,50,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,100,480,100,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,150,480,150,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,200,480,200,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,250,480,250,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,300,480,300,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,350,480,350,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,400,480,400,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,450,480,450,430,-90,1,0.5,0,0,,,
0.2,GasterBlaster,4,500,480,500,430,-90,1,0.5,0,0,,,
2.5,BlackScreen,1,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,
0,CombatZoneResizeinstant,33,251,608,391,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,
0.3,BlackScreen,0,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,
0.2,EndAttack,,,,,,,,,,,,,
