0,CombatZoneResize,114,216,576,391,,,,,,,
0,ADD,EndY2,$EndY2,$HeartY,,,,,,,,
0,ADD,X2,$X2,$HeartX,,,,,,,,
0,ADD,Y2,$Y2,$HeartY,,,,,,,,
0,ADD,EndX3,$EndX3,$HeartX,,,,,,,,
0,ADD,EndY3,$EndY3,$HeartY,,,,,,,,
0,ADD,X3,$X3,$HeartX,,,,,,,,
0,ADD,Y3,$Y3,$HeartY,,,,,,,,
0,JMPNL,50,$EndX2,50,,,,,,,,
0,SET,EndX2,50,,,,,,,,,
0,JMPNG,52,$EndX2,590,,,,,,,,
0,SET,EndX2,590,,,,,,,,,
0,JMPNL,54,$EndY2,40,,,,,,,,
0,SET,EndY2,40,,,,,,,,,
0,JMPNG,56,$EndY2,440,,,,,,,,
0,SET,EndY2,440,,,,,,,,,
0,JMPNL,58,$EndX3,50,,,,,,,,
0,SET,EndX3,50,,,,,,,,,
0,JMPNG,60,$EndX3,590,,,,,,,,
0,SET,EndX3,590,,,,,,,,,
0,JMPNL,62,$EndY3,40,,,,,,,,
0,SET,EndY3,40,,,,,,,,,
0,JMPNG,64,$EndY3,440,,,,,,,,
0,SET,EndY3,440,,,,,,,,,
0,ANGLE,Ang2,$EndX2,$EndY2,$HeartX,$HeartY,,,,,,
0,ANGLE,Ang3,$EndX3,$EndY3,$HeartX,$HeartY,,,,,,
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,0.46666,0.03333,0,0,
0,GasterBlaster2,0,$X3,$Y3,$EndX3,$EndY3,$Ang3,0.46666,150,0,0,
1.5,JMPNZ,24,$Loop2,,,,,,,,,
0.5,GasterBlaster3,0,350,3,350,166,165,0.6666,3.6,0,-0.5,
0.5,SET,Loop4,3,,,,,,,,,
0,SUB,Loop4,$Loop4,1,,,,,,,,
0,RND,Ang2,360,,,,,,,,,
0,COS,X2,$Ang2,,,,,,,,,
0,SIN,Y2,$Ang2,,,,,,,,,
0,MUL,EndX2,$X2,200,,,,,,,,
0,MUL,EndY2,$Y2,200,,,,,,,,
0,MUL,X2,$X2,400,,,,,,,,
0,MUL,Y2,$Y2,300,,,,,,,,
0,RND,Ang3,360,,,,,,,,,
0,COS,X3,$Ang3,,,,,,,,,
0,SIN,Y3,$Ang3,,,,,,,,,
0,MUL,EndX3,$X3,200,,,,,,,,
0,MUL,EndY3,$Y3,200,,,,,,,,
0,MUL,X3,$X3,400,,,,,,,,
0,MUL,Y3,$Y3,300,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,ADD,EndX2,$EndX2,$HeartX,,,,,,,,
0,ADD,EndY2,$EndY2,$HeartY,,,,,,,,
0,ADD,X2,$X2,$HeartX,,,,,,,,
0,ADD,Y2,$Y2,$HeartY,,,,,,,,
0,ADD,EndX3,$EndX3,$HeartX,,,,,,,,
0,ADD,EndY3,$EndY3,$HeartY,,,,,,,,
0,ADD,X3,$X3,$HeartX,,,,,,,,
0,ADD,Y3,$Y3,$HeartY,,,,,,,,
0,JMPNL,97,$EndX2,50,,,,,,,,
0,SET,EndX2,50,,,,,,,,,
0,JMPNG,99,$EndX2,590,,,,,,,,
0,SET,EndX2,590,,,,,,,,,
0,JMPNL,101,$EndY2,40,,,,,,,,
0,SET,EndY2,40,,,,,,,,,
0,JMPNG,103,$EndY2,440,,,,,,,,
0,SET,EndY2,440,,,,,,,,,
0,JMPNL,105,$EndX3,50,,,,,,,,
0,SET,EndX3,50,,,,,,,,,
0,JMPNG,107,$EndX3,590,,,,,,,,
0,SET,EndX3,590,,,,,,,,,
0,JMPNL,109,$EndY3,40,,,,,,,,
0,SET,EndY3,40,,,,,,,,,
0,JMPNG,111,$EndY3,440,,,,,,,,
0,SET,EndY3,440,,,,,,,,,
0,ANGLE,Ang2,$EndX2,$EndY2,$HeartX,$HeartY,,,,,,
0,ANGLE,Ang3,$EndX3,$EndY3,$HeartX,$HeartY,,,,,,
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,0.46666,0.03333,0,0,
0,GasterBlaster2,0,$X3,$Y3,$EndX3,$EndY3,$Ang3,0.46666,150,0,0,
1.5,JMPNZ,71,$Loop4,,,,,,,,,
0.5,JMPNZ,21,$Loop3,,,,,,,,,
0,EndAttack,,,,,,,,,,,
