0,CombatZoneResize,241,226,406,391,TLPause,,
0,SansSlam,2,,,,,,
0.4,BoneStab,2,30,0.4,0.2,,,
0,BoneStab,0,110,0.4,0.2,,,
0.8,BoneStab,0,40,1,0,,,
0.8,SansBody,HandRight,,,,,,
0,SansSlam,0,,,,,,
0.155,HeartMode,0,,,,,,
0,Sound,Ding,,,,,,
0,BoneStab,0,70,0.5,1,,,
0,BoneStab,1,70,0.5,1,,,
0,BoneStab,2,70,0.5,1,,,
0,BoneStab,3,70,0.5,1,,,
0,sanstorso,Default,,,,,,
0,SansAnimation,Idle,,,,,,
1,JMPABS,End,,,,,,
0,:NO3,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,
0,HeartTeleport,320,304,,,,,
0.5,SansBody,HandRight,,,,,,
0,SansSlam,0,,,,,,
0.4,BoneStab,0,30,0.4,0.3,,,
0,BoneStab,2,110,0.4,0.3,,,
0.8,SansBody,HandDown,,,,,,
0,SansSlam,1,,,,,,
0.2,BoneStab,1,30,0.4,0.3,,,
0,BoneStab,3,110,0.4,0.3,,,
0.5,BoneStab,0,60,1,1,,,
0,sanstorso,Default,,,,,,
0.2,bonev,226,231,100,0,150,,
0,bonev,226,351,35,0,150,,
0,bonev,214,231,97,0,150,,
0,bonev,214,348,38,0,150,,
0,bonev,202,231,94,0,150,,
0,bonev,202,345,41,0,150,,
0,bonev,190,231,91,0,150,,
0,bonev,190,342,44,0,150,,
0.9,boneh,246,396,40,3,300,,
0,boneh,301,396,103,3,300,,
0.9,bonev,411,346,40,2,200,,
0,bonev,423,343,43,2,200,,
0,bonev,435,340,46,2,200,,
0,bonev,447,337,49,2,200,,
0,bonev,459,334,52,2,200,,
0,bonev,471,337,49,2,200,,
0,bonev,483,340,46,2,200,,
0,bonev,495,343,43,2,200,,
0,bonev,495,346,40,2,200,,
0.3,bonev,236,231,110,0,300,,
1.2,bonev,236,346,40,0,200,,
0,bonev,224,343,43,0,200,,
0,bonev,212,340,46,0,200,,
0,bonev,200,337,49,0,200,,
0,bonev,188,334,52,0,200,,
0,bonev,176,337,49,0,200,,
0,bonev,164,340,46,0,200,,
0,bonev,152,343,43,0,200,,
0,bonev,140,346,40,0,200,,
0.3,bonev,411,231,110,2,300,,
1.2,bonev,411,346,40,2,200,,
0,bonev,423,343,43,2,200,,
0,bonev,435,340,46,2,200,,
0,bonev,447,337,49,2,200,,
0,bonev,459,334,52,2,200,,
0,bonev,471,337,49,2,200,,
0,bonev,483,340,46,2,200,,
0,bonev,495,343,43,2,200,,
0,bonev,495,346,40,2,200,,
0.3,bonev,236,231,110,0,300,,
0,bonev,224,231,110,0,300,,
0,bonev,212,231,110,0,300,,
1.2,bonev,236,346,40,0,200,,
0,bonev,224,343,43,0,200,,
0,bonev,212,340,46,0,200,,
0,bonev,200,337,49,0,200,,
0,bonev,188,334,52,0,200,,
0,bonev,176,337,49,0,200,,
0,bonev,164,340,46,0,200,,
0,bonev,152,343,43,0,200,,
0,bonev,140,346,40,0,200,,
0.3,bonev,411,231,110,2,300,,
0,bonev,423,231,110,2,300,,
0,bonev,435,231,110,2,300,,
1.2,BoneVRepeat,221,231,115,0,350,,
0,BoneVRepeat,221,356,30,0,350,,
0,BoneVRepeat,411,231,115,2,350,,
0,BoneVRepeat,411,356,30,2,350,,
0,BoneVRepeat,206,231,115,0,350,,
0,BoneVRepeat,206,356,30,0,350,,
0,BoneVRepeat,426,231,115,2,350,,
0,BoneVRepeat,426,356,30,2,350,,
0,BoneVRepeat,191,231,118,0,350,,
0,BoneVRepeat,191,359,27,0,350,,
0,BoneVRepeat,441,231,118,2,350,,
0,BoneVRepeat,441,359,27,2,350,,
1,JMPABS,End,,,,,,
0,:NO4,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,
0,HeartTeleport,325,304,,,,,
0.5,SansBody,HandDown,,,,,,
0,SansSlam,1,,,,,,
0,BoneStab,1,30,0.4,0.2,,,
0,BoneStab,3,110,0.4,0.2,,,
0,BoneVRepeat,295,400,100,1,150,50,100
0,BoneVRepeat,355,400,100,1,150,50,100
0.5,BoneVRepeat,310,236,30,1,30,25,60
0,BoneVRepeat,325,400,30,3,30,25,60
0,BoneVRepeat,340,236,30,1,30,25,60
0,heartmode,0,,,,,,
0,sound,ding,,,,,,
0,sanstorso,Default,,,,,,
0.5,SET,LOOP,15,,,,,
0,SUB,LOOP,$LOOP,1,,,,
0,GetHeartPos,HeartX,HeartY,,,,,
0,Boneh,220,$HeartY,30,0,100,,
1,GetHeartPos,HeartX,HeartY,,,,,
0,Boneh,427,$HeartY,30,2,100,,
1,JMPNZ,208,$LOOP,,,,,
0,JMPABS,End,,,,,,
0,:NO5,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,
0,HeartTeleport,325,304,,,,,
0.5,SET,oppp,10,,,,,
0,SUB,oppp,$oppp,1,,,,
0,RND,Q,4,,,,,
0,ADD,Q,$Q,1,,,,
0,JMPREL,$Q,,,,,,
0,JMPABS,N1,,,,,,
0,JMPABS,N2,,,,,,
0,JMPABS,N3,,,,,,
0,JMPABS,N4,,,,,,
0,:N1,,,,,,,
0,SansBody,HandDown,,,,,,
0,SansSlam,1,,,,,,
0.2,BoneStab,1,30,0.2888,0.2,,,
0,BoneStab,3,110,0.2888,0.2,,,
0,JMPABS,EN,,,,,,
0,:N2,,,,,,,
0,SansBody,HandUp,,,,,,
0,SansSlam,3,,,,,,
0.2,BoneStab,3,30,0.2888,0.2,,,
0,BoneStab,1,110,0.2888,0.2,,,
0,JMPABS,EN,,,,,,
0,:N3,,,,,,,
0,SansBody,HandLeft,,,,,,
0,SansSlam,2,,,,,,
0.2,BoneStab,2,30,0.2888,0.2,,,
0,BoneStab,0,110,0.2888,0.2,,,
0,JMPABS,EN,,,,,,
0,:N4,,,,,,,
0,SansBody,HandRight,,,,,,
0,SansSlam,0,,,,,,
0.2,BoneStab,0,30,0.2888,0.2,,,
0,BoneStab,2,110,0.2888,0.2,,,
0,JMPABS,EN,,,,,,
0,:EN,,,,,,,
0.9,JMPNZ,219,$oppp,,,,,
0,sanstorso,Default,,,,,,
0,:End,,,,,,,
0,damageplayer,-15,1,,,,,
0,EndAttack,,,,,,,
